Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
SINCLAIR,Sinclairs Hotels Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
SINDHUTRAD,Sindhu Trade Links Limited,Industrials,Diversified,Conglomerates,Capital Goods
SINTERCOM,Sintercom India Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SIRCA,Sirca Paints India Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
SIS,SIS LIMITED,Industrials,Services,Security & Protection Services,Services
SITINET,Siti Networks Limited,Communication Services,Media,Media & Entertainment,Media & Telecom
SIYSIL,Siyaram Silk Mills Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
SJS,S.J.S. Enterprises Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SJVN,SJVN Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
SKFINDIA,SKF India Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SKFINDUS,SKF India (Industrial) Limited,Industrials,Capital Goods,Tools & Accessories,Capital Goods
SKIPPER,Skipper Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
SKMEGGPROD,SKM Egg Products Export (India) Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Consumer Cyclical,Retail,Luxury Goods,Consumer Goods
SMARTLINK,Smartlink Holdings Limited,Technology,Hardware,Communication Equipment,IT
SMARTWORKS,Smartworks Coworking Spaces Limited,Real Estate,Realty,Real Estate Services,Realty
SMCGLOBAL,SMC Global Securities Limited,Financial Services,Finance,Finance & Investments,Banking & Finance
SMLMAH,SML Mahindra Limited,Consumer Cyclical,Automobile,Auto Manufacturers,Auto
SMLT,Sarthak Metals Limited,Industrials,Capital Goods,Metal Fabrication,Capital Goods
SMSPHARMA,SMS Pharmaceuticals Limited,Healthcare,Pharma,Drug Manufacturers - General,Pharma & Healthcare
SNOWMAN,Snowman Logistics Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
SOBHA,Sobha Limited,Real Estate,Realty,Real Estate,Realty
SOFTTECH,Softtech Engineers Limited,Technology,Software,Software - Application,IT
